"","subid","char","subid_char","duration","summary","summary_coded","yob","gender","ethnicity","religion","comments","be aware of things","can be turned on and off","feel embarrassed","feel guilty","feel happy","feel love","feel pain","feel proud","feel sad","feel scared","feel sick, like when you feel like you might throw up","feel tired","figure out how to do things","get angry","get hungry","get hurt feelings","is made out of metal","make choices","please choose yes","please click kinda","please select no","remember things","sense temperatures","sense whether something is close by or far away","smell things"
"82","R_2U60SKt15YNpEod","doll","R_2U60SKt15YNpEod_doll","135","The survey taker had to select if he/she thought the doll presented could feel or sense things.","1","1989","m","white","not_religious","","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","KINDA","NO","NO","NO","NO","NO"
"83","R_2WImaYCiMMCnCHx","robot","R_2WImaYCiMMCnCHx_robot","200","I answered simple questions regarding the capabilities of a robot.","1","1995","m","white","not_religious","","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","KINDA","NO","YES","YES","KINDA","NO"
"84","R_2wNdLs6Wg6vOJhn","bird","R_2wNdLs6Wg6vOJhn_bird","233","ad to pick options about different opinions about the bird","1","1983","m","asian_south","christianity","none","KINDA","YES","NO","KINDA","YES","YES","YES","KINDA","KINDA","YES","KINDA","YES","YES","YES","YES","KINDA","NO","YES","YES","KINDA","NO","KINDA","YES","YES","KINDA"
"85","R_2wNs8fNtSxoNWgQ","goat","R_2wNs8fNtSxoNWgQ_goat","29","","","","","","","","YES","","YES","YES","","YES","YES","YES","","","","YES","","YES","YES","YES","","YES","","YES","NO","YES","YES","YES","YES"
"86","R_2wuhoxZYOfKICCh","robot","R_2wuhoxZYOfKICCh_robot","180","I took a test on what I thought a robot is and is not","1","1968","m","white","not_religious","Interesting! Have a nice day!","YES","YES","NO","NO","NO","NO","NO","YES","NO","KINDA","NO","NO","YES","NO","NO","NO","YES","YES","YES","KINDA","NO","YES","YES","YES","YES"
"87","R_2Xb2S31nDpVp00K","elephant","R_2Xb2S31nDpVp00K_elephant","147","Answered questions about if I believed that elephants have feelings and emotions which I do believe that they do ","","1986","m","native_american","christianity","","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"88","R_2Xj4KN6zc6ImY2b","teddy_bear","R_2Xj4KN6zc6ImY2b_teddy_bear","512","I completed a survey regarding my judgement of a particular item.  The item was a teddy bear and my perception to whether the bear could have any type of emotions or feelings","","1980","f","black","christianity","","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","KINDA","YES","NO","NO","NO","NO"
"89","R_2XoOG9PFRFjHdAt","bird","R_2XoOG9PFRFjHdAt_bird","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","R_2YP2cOWvI44PhwE","goat","R_2YP2cOWvI44PhwE_goat","560","estaba seleccionando opciones de la descripciÌ_n de una cabra","0","1992","f","white","christianity","sin comentarios","YES","NO","NO","KINDA","KINDA","NO","YES","NO","NO","YES","YES","KINDA","YES","YES","YES","NO","NO","KINDA","YES","KINDA","NO","NO","KINDA","YES","YES"
"91","R_2YXRjPczd16XxNw","computer","R_2YXRjPczd16XxNw_computer","65","I chose whether a computer could feel things or not.","1","1995","m","white","christianity","","KINDA","YES","KINDA","KINDA","KINDA","KINDA","KINDA","NO","NO","YES","KINDA","NO","KINDA","NO","KINDA","KINDA","YES","KINDA","YES","KINDA","NO","KINDA","KINDA","KINDA","KINDA"
"92","R_2YzDL6unRe4BeIC","robot","R_2YzDL6unRe4BeIC_robot","139","I selected whether robots can do or feel certain things.","1","1991","m","white","not_religious","no","KINDA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","KINDA","YES","NO","NO","NO","YES","KINDA","YES","KINDA","NO","NO","YES","YES","NO"
"93","R_2zHzSd3NFJY44jU","doll","R_2zHzSd3NFJY44jU_doll","114","I answered questions about dolls and what they are able to do and feel. ","1","1980","f","white","not_religious","","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","KINDA","NO","NO","NO","NO","NO"
"94","R_30jygo6K48JD4Ep","doll","R_30jygo6K48JD4Ep_doll","95","Answers questions about what a doll can or cant do","1","1986","f","white","buddhism","","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","KINDA","NO","NO","NO","NO","NO"
"95","R_31pcghDPm5MTIKK","robot","R_31pcghDPm5MTIKK_robot","203","i was asked to answer whether robots felt certain things","1","1965","m","white","not_religious","","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","KINDA","YES","KINDA","NO","KINDA","KINDA","YES","NO"
"96","R_3CJcyIRDXRNPwQf","goat","R_3CJcyIRDXRNPwQf_goat","191","I was answering simply worded questions about the abilities and emotions of goats","1","1992","m","white","not_religious","","KINDA","NO","NO","NO","YES","KINDA","YES","KINDA","YES","YES","YES","YES","KINDA","YES","YES","NO","NO","KINDA","YES","KINDA","NO","KINDA","YES","KINDA","YES"
"97","R_3dMKTO7MXabL8Du","doll","R_3dMKTO7MXabL8Du_doll","183","I answered questions about a doll, such as do I think a doll can feel happy. ","1","1970","f","white","christianity","No","NO","YES","NO","NO","KINDA","KINDA","NO","NO","KINDA","KINDA","NO","NO","NO","NO","NO","NO","YES","NO","YES","KINDA","NO","NO","NO","NO","NO"
"98","R_3eahQ1H2iG1qrZG","elephant","R_3eahQ1H2iG1qrZG_elephant","107","I rated whether or not elephants have feelings and other emotions. ","1","1987","m","white","not_religious","n/a","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"99","R_3EgvGKGrD1cMpWs","doll","R_3EgvGKGrD1cMpWs_doll","190","doll","0","1983","m","white","christianity","good","NO","NO","NO","NO","KINDA","NO","NO","NO","NO","KINDA","KINDA","NO","KINDA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"100","R_3F4KPYuIGiMi8Zt","robot","R_3F4KPYuIGiMi8Zt_robot","96","I answered questions about the ability of robots.","1","1980","f","white","not_religious","","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","YES","KINDA","NO","YES","YES","YES","YES"
"101","R_3fJ20HeuxPaE4Ml","beetle","R_3fJ20HeuxPaE4Ml_beetle","375","answer the things that beetles can and can not do","1","1988","f","white","christianity","do not","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","KINDA","YES","YES","NO","YES","NO","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"102","R_3FWqYHfj47MGO6D","goat","R_3FWqYHfj47MGO6D_goat","151","I answered questions about what I thought a goat could do in the form of yes, no and maybe","1","1980","m","white","not_religious","","YES","YES","NO","KINDA","YES","YES","YES","KINDA","KINDA","YES","YES","YES","YES","YES","YES","YES","NO","KINDA","YES","KINDA","NO","KINDA","YES","YES","YES"
"103","R_3G1UE9SEnZcgGEQ","beetle","R_3G1UE9SEnZcgGEQ_beetle","106","I chose whether or not beetles had certain traits or characteristics.","1","1972","m","white","not_religious","Thanks, good luck with your research.","YES","NO","NO","NO","KINDA","NO","YES","NO","NO","NO","YES","YES","KINDA","YES","YES","NO","NO","YES","YES","KINDA","NO","KINDA","YES","NO","YES"
"104","R_3hbxUMx96Wv48Qo","beetle","R_3hbxUMx96Wv48Qo_beetle","178","Awnsered questions about a beetle, could they feel sad, scared, proud ect","1","1984","f","white","christianity","","YES","KINDA","NO","YES","NO","YES","YES","YES","KINDA","KINDA","KINDA","KINDA","YES","KINDA","KINDA","YES","YES","YES","YES","YES","NO","YES","KINDA","YES","YES"
"105","R_3hcPkFyDJfxzYNl","elephant","R_3hcPkFyDJfxzYNl_elephant","97","I answered questions about the kinds of things that elephants can and can't do.","1","1980","m","white","not_religious","","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"106","R_3HigjwkQkDM7iMB","robot","R_3HigjwkQkDM7iMB_robot","44","","","","","","","","","","","","","","","","NO","NO","NO","","","","","","","","NO","","","","","",""
"107","R_3HLlxLxJ9LlZnj1","bird","R_3HLlxLxJ9LlZnj1_bird","240","I answered questions on what i think a bird could or could not do. ","1","1997","m","white","prefno","Quick fun survey thanks.","YES","YES","NO","NO","YES","KINDA","YES","KINDA","YES","YES","NO","YES","YES","YES","YES","YES","NO","YES","YES","KINDA","NO","KINDA","YES","YES","YES"
"108","R_3HNDYK84vyonOt8","doll","R_3HNDYK84vyonOt8_doll","281","I was asked to respond to several questions about a doll.","1","1957","f","white","christianity","It may be silly, but even at 61 years old, I have several stuffed animals and I know very well that they are not real, but they are ""real"" to me. I would feel very sad if anything happened to them.","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","KINDA","NO","NO","NO","NO","NO"
"109","R_3iFiweaCgxVo22A","mouse","R_3iFiweaCgxVo22A_mouse","123","I answered questions about what mice can or can not do.","1","1958","f","white","christianity","no","YES","NO","NO","NO","KINDA","YES","YES","NO","KINDA","YES","YES","YES","YES","KINDA","YES","NO","NO","YES","YES","KINDA","KINDA","YES","YES","YES","YES"
"110","R_3IS3eSC0dg7XF2S","goat","R_3IS3eSC0dg7XF2S_goat","161","I clicked answers to questions on what I believed a goat can do. ","1","1976","f","white","christianity","","YES","NO","NO","NO","KINDA","KINDA","YES","NO","KINDA","YES","YES","YES","YES","YES","YES","NO","NO","YES","YES","KINDA","NO","KINDA","YES","YES","YES"
"111","R_3iU9tgGflLvGx1m","goat","R_3iU9tgGflLvGx1m_goat","150","I was asked questions about what I thought goats could do.","1","1966","f","white","christianity","Thank you.","YES","NO","NO","NO","YES","KINDA","YES","NO","KINDA","YES","NO","YES","KINDA","NO","YES","NO","NO","YES","YES","KINDA","NO","NO","YES","YES","YES"
"112","R_3J89ZvYZH6C8vy8","teddy_bear","R_3J89ZvYZH6C8vy8_teddy_bear","103","i described teddy bears abilities","1","1969","m","white","not_religious","","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","KINDA","NO","NO","NO","NO","NO"
"113","R_3JeczzX5u0eFWwg","beetle","R_3JeczzX5u0eFWwg_beetle","263","I answered questions about what I thought beetles can or cannot do, such as smell things, be embarrassed, or get angry.","1","1969","f","white","not_religious","","YES","NO","NO","NO","NO","KINDA","YES","NO","NO","KINDA","YES","YES","KINDA","YES","YES","NO","NO","YES","YES","KINDA","NO","KINDA","YES","YES","YES"
"114","R_3jHKAwFOhwryBJ7","goat","R_3jHKAwFOhwryBJ7_goat","542","I wrote an essay about what it was like to learn to play the violin","0","1987","m","white","christianity","GOOD","KINDA","KINDA","KINDA","NO","YES","YES","KINDA","YES","KINDA","YES","YES","KINDA","YES","KINDA","KINDA","KINDA","KINDA","YES","YES","KINDA","NO","KINDA","YES","KINDA","KINDA"
"115","R_3Liq3HjviZv4Hsn","computer","R_3Liq3HjviZv4Hsn_computer","111","I answered questions pertaining to what a computer may or may not be able to do.","1","1987","m","white","not_religious","Thanks","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","KINDA","YES","NO","KINDA","NO","YES","YES","YES","KINDA","NO","YES","YES","YES","NO"
"116","R_3lKCO9zBdookX2u","bird","R_3lKCO9zBdookX2u_bird","129","I answered a series of questions on what I think bird's are capable of.","","1990","na","white","not_religious","","YES","NO","NO","NO","KINDA","NO","YES","NO","KINDA","NO","KINDA","YES","YES","KINDA","YES","NO","NO","YES","YES","KINDA","NO","KINDA","YES","YES","YES"
"117","R_3m2kC2nnAvK9Mxn","doll","R_3m2kC2nnAvK9Mxn_doll","144","Evaluate if a doll can feel different emotions and feelings like a real person","1","1985","f","black","not_religious","","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","KINDA","NO","NO","NO","NO","NO"
"118","R_3m3KhD9gV5q1Sjh","robot","R_3m3KhD9gV5q1Sjh_robot","585","I was given sentences of what I believe a robot can do and feel. I had select choices such as ""No, Kinda, and Yes."" ","1","1985","f","hispanic","christianity","","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","KINDA","NO","NO","NO","YES","KINDA","YES","KINDA","NO","NO","NO","KINDA","NO"
"119","R_3m4UM91S66aenRt","doll","R_3m4UM91S66aenRt_doll","234","I answered questions about dolls that were related to dolls have human qualities such as feelings or thoughts.","","1964","f","white","not_religious","Yes, it wasn't immediately clear to me that after I answered the first question, that it wasn't necessary to click on the bottom arrow. I kept clicking thinking my answer hadn't been registered. Perhaps the arrow should appear after the questions had been answered","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","KINDA","NO","NO","NO","NO","KINDA"
"120","R_3m9OfTXaBg6IXSw","mouse","R_3m9OfTXaBg6IXSw_mouse","506","I was asked questions on the behaviour of mice and i replied.","","1981","m","asian_south","hinduism","nil","YES","YES","NO","NO","YES","YES","YES","NO","KINDA","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"121","R_3mdAbjevP8F3RqJ","goat","R_3mdAbjevP8F3RqJ_goat","145","I answered questions about the characteristics of Goats.","1","1998","m","white","christianity","","YES","NO","KINDA","KINDA","KINDA","YES","YES","KINDA","KINDA","YES","YES","YES","YES","YES","YES","KINDA","NO","YES","YES","KINDA","NO","NO","NO","YES","YES"
"122","R_3MRUOF3aZhko2yh","beetle","R_3MRUOF3aZhko2yh_beetle","184","I answered questions about my opinion on certain characteristics of beetles","1","1996","m","white","not_religious","","NO","NO","NO","NO","NO","NO","YES","NO","NO","KINDA","NO","YES","KINDA","NO","YES","NO","NO","NO","YES","KINDA","NO","NO","KINDA","NO","KINDA"
"123","R_3MSsxbV8OCaIibr","computer","R_3MSsxbV8OCaIibr_computer","89","made choices about what a computer could do","1","1983","m","white","not_religious","","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","KINDA","NO","NO","NO","NO","NO"
"124","R_3NJmEP5elzAmMQZ","computer","R_3NJmEP5elzAmMQZ_computer","182","I made choices about what I thought computers can and can't do.","1","1972","m","white","judaism","no problems","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","YES","KINDA","NO","YES","NO","NO","NO"
"125","R_3O0aWL9izvsNNQS","beetle","R_3O0aWL9izvsNNQS_beetle","227","I had to decide what a beetle can and can not do. ","1","1968","m","white","christianity","Thanks and good luck with your work","YES","NO","NO","NO","KINDA","KINDA","YES","NO","KINDA","YES","YES","YES","YES","NO","YES","NO","NO","YES","YES","KINDA","NO","KINDA","YES","YES","KINDA"
"126","R_3O6yfyNKSodcHB0","elephant","R_3O6yfyNKSodcHB0_elephant","126","I answered questions about properties of elephants by selecting yes,no, or kinda.","1","1980","m","white","not_religious","","YES","NO","KINDA","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"127","R_3oHhyTnxbGuMUHW","bird","R_3oHhyTnxbGuMUHW_bird","140","To see if what you think a bird can sense.","1","1979","m","white","christianity","No","YES","NO","NO","NO","YES","YES","YES","KINDA","YES","YES","YES","YES","KINDA","YES","YES","YES","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"128","R_3oLvnf19be40gJD","doll","R_3oLvnf19be40gJD_doll","232","We were asked questions about dolls such as if they could think","1","1965","m","white","not_religious","","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","KINDA","NO","NO","NO","NO","NO"
"129","R_3Or9GlaWbOSZwST","robot","R_3Or9GlaWbOSZwST_robot","70","I had to select if I agreed that a robot can X","1","1990","m","white","not_religious","","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","KINDA","NO","YES","KINDA","NO","NO","NO","NO","NO"
"130","R_3PdUJu9v2nIl2iL","robot","R_3PdUJu9v2nIl2iL_robot","97","I agreed or disagreed with various statements about the abilities of robots","1","1978","m","white","not_religious","","KINDA","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","KINDA","NO","NO","NO","YES","KINDA","YES","KINDA","NO","KINDA","YES","YES","NO"
"131","R_3PLHGjAJRqRlI9w","teddy_bear","R_3PLHGjAJRqRlI9w_teddy_bear","225","I made decisions about what a teddy bear can and cannot feel","1","1981","m","white","judaism","","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","KINDA","NO","NO","NO","NO","NO"
"132","R_3PS5WL5mDIjPyMK","teddy_bear","R_3PS5WL5mDIjPyMK_teddy_bear","37","","","","","","","","NO","","NO","NO","NO","","NO","NO","NO","NO","NO","NO","","NO","NO","NO","","NO","NO","NO","NO","NO","NO","NO","NO"
"133","R_3sc3BOgwgeIMHl5","computer","R_3sc3BOgwgeIMHl5_computer","338","QUESTIONS REGARDING COMPUTER, NATURE AND FEELING OF THE COMPUTER","","USA","m","native_american","christianity","NO ","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","YES","KINDA","NO","YES","YES","YES","NO"
"134","R_3si8w66zggmPiSD","computer","R_3si8w66zggmPiSD_computer","268","I answered questions about what I think a computer cans do.  For example, one question asked if a computer feels guilty.  Answer choices were no, kinda, and yes.  ","1","1983","f","white","christianity","","KINDA","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","KINDA","YES","KINDA","NO","YES","KINDA","KINDA","NO"
"135","R_4JIuTVvvk7rZwPv","elephant","R_4JIuTVvvk7rZwPv_elephant","131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"136","R_50jpydWRgZiSXxD","goat","R_50jpydWRgZiSXxD_goat","201","I was asked to answer questions about what I think a goat can and cannot do.","1","1978","f","white","christianity","No, thank you!","YES","NO","KINDA","NO","YES","YES","YES","KINDA","KINDA","YES","YES","YES","KINDA","KINDA","YES","YES","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"137","R_50UtDxHI3ldcjap","elephant","R_50UtDxHI3ldcjap_elephant","185","I filled out a survey on how elephants are.","1","1987","f","black","christianity","no","YES","YES","YES","KINDA","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","KINDA","YES","YES","YES","YES","YES"
"138","R_5jULWhYwPscTDix","teddy_bear","R_5jULWhYwPscTDix_teddy_bear","194","I participated in a survey providing my personal perceptions as to what emotions and senses a Teddy Bear might feel, such as love, anger, hunger, etc.","1","1951","f","white","christianity","","KINDA","NO","KINDA","KINDA","YES","YES","KINDA","YES","YES","YES","KINDA","YES","NO","NO","KINDA","YES","NO","NO","YES","KINDA","NO","KINDA","NO","KINDA","NO"
"139","R_6MbPxm1gi2ipRAZ","goat","R_6MbPxm1gi2ipRAZ_goat","225","To see what you think how a goat feels.","1","1982","f","white","christianity","No","YES","NO","KINDA","KINDA","YES","YES","YES","YES","YES","YES","YES","YES","KINDA","YES","YES","YES","NO","YES","YES","NO","NO","KINDA","KINDA","KINDA","YES"
"140","R_9p2tiuAv4OO9vIB","elephant","R_9p2tiuAv4OO9vIB_elephant","948","I rated traits of an elephant and what I thought it could/could not do","1","1988","f","black","judaism","","YES","KINDA","KINDA","NO","YES","YES","YES","KINDA","YES","YES","YES","YES","YES","YES","YES","KINDA","NO","YES","YES","KINDA","NO","YES","KINDA","KINDA","YES"
"141","R_ANZQUq1B63edVXr","computer","R_ANZQUq1B63edVXr_computer","464","What computers can and cannot do","1","1977","m","white","not_religious","","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","KINDA","NO","NO","NO","KINDA","NO","YES","KINDA","NO","NO","YES","NO","NO"
"142","R_AO0cVPnIWSJIE2l","goat","R_AO0cVPnIWSJIE2l_goat","150","I ride bicycle for relaxation","0","1989","m","other_prefno","prefno","","NO","NO","NO","NO","YES","KINDA","YES","NO","NO","YES","YES","KINDA","NO","YES","YES","KINDA","NO","NO","YES","KINDA","NO","NO","NO","KINDA","KINDA"
"143","R_bpcExorA1bUg61H","teddy_bear","R_bpcExorA1bUg61H_teddy_bear","1395","","","","","","","","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"144","R_C7EQF8kSoKZagql","bird","R_C7EQF8kSoKZagql_bird","102","I answered a series of questions about birds.","1","1985","m","white","not_religious","","YES","NO","NO","NO","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"145","R_C83WlitMmbHTSuJ","doll","R_C83WlitMmbHTSuJ_doll","190","I answered questions about whether or not a doll could do certain things.","1","1979","m","white","not_religious","","NO","KINDA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","KINDA","NO","NO","KINDA","KINDA","NO"
"146","R_cBIWI0NyaHw8Aox","elephant","R_cBIWI0NyaHw8Aox_elephant","243","I answered questions about what I thought an elephant can or cannot do etc.","","1966","f","white","christianity","Fun!","YES","NO","YES","KINDA","YES","YES","YES","KINDA","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"147","R_czHnIEyExSJD3Gh","elephant","R_czHnIEyExSJD3Gh_elephant","157","Picked whether elephants can or cannot feel certain ways.","1","1964","f","white","not_religious","","YES","NO","NO","NO","KINDA","KINDA","YES","NO","KINDA","YES","YES","YES","KINDA","YES","YES","NO","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"148","R_dhiLbqSTqr5i481","goat","R_dhiLbqSTqr5i481_goat","194","I had to think about goats' capabilities ","1","1984","f","white","not_religious","","YES","NO","KINDA","NO","YES","YES","YES","YES","KINDA","YES","YES","YES","KINDA","YES","YES","KINDA","NO","KINDA","YES","NO","NO","KINDA","YES","KINDA","YES"
"149","R_DnRamw4UqrsuMI9","mouse","R_DnRamw4UqrsuMI9_mouse","264","I determined if a mouse can feel certain emotions or perform certain actions like feeling angry.","1","1990","m","white","not_religious","none","YES","NO","NO","NO","KINDA","KINDA","YES","KINDA","KINDA","YES","YES","YES","YES","KINDA","YES","KINDA","NO","KINDA","YES","KINDA","NO","YES","YES","YES","YES"
"150","R_DShip47sz5mlipP","robot","R_DShip47sz5mlipP_robot","169","I was answering questions about a robot. They were mostly about emotions and feelings like can it feel cold? can it be happy? etc.","1","1984","m","hispanic","not_religious","no its fine","KINDA","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","YES","KINDA","NO","YES","YES","KINDA","NO"
"151","R_QhV9u20bkXPL225","goat","R_QhV9u20bkXPL225_goat","333","i answered questions about the mental processes a goat is capable of","","1990","m","white","christianity","","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"152","R_qxqpRuv434PxMGd","beetle","R_qxqpRuv434PxMGd_beetle","117","I made judgements on whether beetles could feel certain feelings.","1","1988","f","asian_east","not_religious","","YES","KINDA","KINDA","KINDA","YES","YES","YES","YES","YES","YES","YES","KINDA","YES","YES","YES","YES","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"153","R_qxWN9zW2Kgh5c3f","bird","R_qxWN9zW2Kgh5c3f_bird","379","I answered yes, kind of, or no to questions about birds.","1","1975","f","hispanic","christianity","","YES","NO","KINDA","YES","YES","YES","YES","KINDA","YES","YES","YES","YES","YES","YES","YES","NO","NO","YES","YES","KINDA","NO","KINDA","YES","YES","YES"
"154","R_R3tiFK1fFYmJ4Wd","computer","R_R3tiFK1fFYmJ4Wd_computer","222","I answered whether I felt a computer could be personified in certain ways or retained certain abilities such as feelings or biological responses to stimuli.","1","35","m","white","not_religious","Thanks for the opportunity to participate! This was a fun one!","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","KINDA","YES","KINDA","NO","YES","YES","YES","NO"
"155","R_ROdhqctcmUKgLfz","teddy_bear","R_ROdhqctcmUKgLfz_teddy_bear","184","In this study, I answered questions regarding teddy bears. The questions were basically asked if the teddy bear was a human, like can it smell, have feeling, be scared, etc. ","","1975","f","black","christianity","","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","KINDA","NO","NO","NO","NO","NO"
"156","R_RwBfqqJ72988XXb","doll","R_RwBfqqJ72988XXb_doll","197","I answered questions as to what a doll can or can not do.","1","1980","f","white","not_religious","N/A","NO","YES","NO","NO","NO","KINDA","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","KINDA","NO","YES","KINDA","NO","NO","KINDA","NO","NO"
"157","R_sd74VY8blLWzYJz","robot","R_sd74VY8blLWzYJz_robot","188","I answered questions about robots such as if they could feel emotions.","1","1996","f","black","not_religious","","KINDA","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","YES","YES","KINDA","NO","YES","YES","YES","NO"
"158","R_T60kkocWX04A1TH","goat","R_T60kkocWX04A1TH_goat","125","I was choosing what a goat is or is not able to do, such as feel happy or proud.","1","1995","f","white","not_religious","","YES","NO","KINDA","KINDA","YES","KINDA","YES","KINDA","YES","YES","YES","YES","YES","KINDA","YES","YES","NO","KINDA","YES","KINDA","NO","KINDA","YES","KINDA","YES"
"159","R_T7MQf37yIg0xZHb","elephant","R_T7MQf37yIg0xZHb_elephant","205","I answer questions based on my beliefs of elephants, like their feelings.","1","1980","f","asian_east,white","christianity","No problems.","YES","KINDA","NO","KINDA","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","KINDA","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"160","R_Tdw4lAhCj6jyqIN","beetle","R_Tdw4lAhCj6jyqIN_beetle","379","degree","0","25","m","native_american","judaism","good survey","NO","YES","KINDA","NO","NO","YES","KINDA","KINDA","KINDA","NO","YES","KINDA","KINDA","NO","NO","NO","KINDA","NO","YES","KINDA","KINDA","NO","KINDA","KINDA","KINDA"
"161","R_u81S6YAoTAy0jjr","goat","R_u81S6YAoTAy0jjr_goat","484","I do the behavior of the goat and their response","0","1988","m","black","christianity","good survey","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","KINDA","NO","YES","YES","YES","YES"
"162","R_UXfnOfKsn8XJokx","computer","R_UXfnOfKsn8XJokx_computer","239","I answered some questions about things a computer can do (ie. sense things, remember things, etc)","1","1984","f","black","christianity","None","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","KINDA","NO","NO","NO","NO","NO"
"163","R_UXzzSryzRDcDISR","bird","R_UXzzSryzRDcDISR_bird","330","I selected The bird can do or do not","0","1992","m","native_american","christianity","All is fine and good in this study","YES","NO","NO","NO","NO","KINDA","NO","YES","KINDA","NO","NO","YES","YES","YES","YES","NO","NO","NO","YES","KINDA","NO","YES","YES","YES","YES"
